id,Country,Place Name,region,lon,lat,coordinates,bounding_box,admin_level,Est. Population,Total (t CO2),CO2 per capita,airports,buildings,ets,farms,fuelstations,harbours,refineries,tiox,trains,restaurants,pubs,bars_cafes,biergarten,fast_foods,food_courts,ice_cream,churches,museums,castles,artworks,theatres,monuments,amphitheatres,gyms,swimming_pools,sports_halls,tennis_fields,padel_fields,soccer_fields,sport_shops,stadiums,spa,markets,supermarkets,clothes_shops,electronics_shops,jewelry_shops,parks,picnic_areas,rivers,lakes,trails
786,'italy','Moncestino',' Piemonte',45.1547598,8.1614216,ST_GeogFromText('POINT(8.1614216 45.1547598)'),"'(8.1514216, 45.1447598, 8.1714216, 45.1647598)'",8,233.829622353995,691,2.95514312106229,0,592,0,99,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
787,'italy','Monchiero',' Piemonte',44.570538,7.920236,ST_GeogFromText('POINT(7.920236 44.570538)'),"'(7.910236, 44.560538, 7.930236, 44.580538)'",8,495.125755627698,9471,19.1284737106699,0,5032,0,759,3627,0,0,0,53,3,1,1,0,0,0,0,3,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,3,2,2,0
788,'italy','Moncrivello',' Piemonte',45.332357,7.995524,ST_GeogFromText('POINT(7.995524 45.332357)'),"'(7.985524, 45.322357000000004, 8.005524, 45.342357)'",8,1484.69182888144,4881,3.28755092811235,0,1221,0,33,3627,0,0,0,0,1,0,0,0,0,0,0,6,0,1,3,0,0,0,26,1,0,0,0,0,0,0,0,0,0,0,0,0,2,8,0,1,0
789,'italy','Moncucco Torinese',' Piemonte',45.0681071,7.9325329,ST_GeogFromText('POINT(7.9325329 45.0681071)'),"'(7.9225329, 45.0581071, 7.9425329, 45.0781071)'",8,1130.09742879636,642,0.56809261187664,0,444,0,198,0,0,0,0,0,1,0,0,0,0,0,0,1,1,1,0,0,0,0,0,7,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2,0
790,'italy','Mondovì',' Piemonte',44.3900282,7.8204718,ST_GeogFromText('POINT(7.8204718 44.3900282)'),"'(7.8104718, 44.380028200000005, 7.8304718, 44.4000282)'",8,22185.885252247,212385,9.57297838626881,0,91464,41781,13695,65286,0,0,0,159,3,0,8,0,0,0,0,19,3,1,1,2,3,0,11,11,0,0,0,0,0,0,0,2,6,1,0,0,21,0,1,4,2
791,'italy','Moneglia',' Liguria',44.2385001,9.4899769,ST_GeogFromText('POINT(9.4899769 44.2385001)'),"'(9.4799769, 44.228500100000005, 9.4999769, 44.2485001)'",8,2865.54183876153,24396,8.51357312952158,0,20683,0,33,3627,0,0,0,53,26,1,9,0,1,0,3,6,0,1,1,0,0,0,1,3,0,0,0,0,0,0,0,0,3,8,1,2,1,1,0,0,0
792,'italy','Monesiglio',' Piemonte',44.465037,8.118542,ST_GeogFromText('POINT(8.118542 44.465037)'),"'(8.108542, 44.455037000000004, 8.128542, 44.475037)'",8,695.742815222962,12096,17.3857346929607,0,8436,0,33,3627,0,0,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0
793,'italy','Monforte d'Alba',' Piemonte',44.582438,7.969637,ST_GeogFromText('POINT(7.969637 44.582438)'),"'(7.959637, 44.572438000000005, 7.979636999999999, 44.592438)'",8,2096.01497707947,27697,13.2141231350323,0,20572,0,3498,3627,0,0,0,0,6,0,5,0,0,0,0,3,1,1,0,1,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
794,'italy','Mongardino',' Piemonte',44.8492328,8.2184747,ST_GeogFromText('POINT(8.2184747 44.8492328)'),"'(8.2084747, 44.839232800000005, 8.2284747, 44.8592328)'",8,934.024957787973,3383,3.62195889070445,0,3330,0,0,0,0,0,0,53,1,0,0,0,0,0,0,2,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
795,'italy','Mongiardino Ligure',' Piemonte',44.6401393,9.0618536,ST_GeogFromText('POINT(9.0618536 44.6401393)'),"'(9.0518536, 44.6301393, 9.071853599999999, 44.6501393)'",8,155.839698619471,740,4.74846914204403,0,740,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
796,'italy','Mongrando',' Piemonte',45.5277315,8.0105832,ST_GeogFromText('POINT(8.0105832 45.5277315)'),"'(8.0005832, 45.517731500000004, 8.020583199999999, 45.5377315)'",8,4040.15705303484,24829,6.14555317381764,0,17575,0,0,7254,0,0,0,0,0,0,2,0,1,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0
